Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 30, 2022"
Line,,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Private fixed assets",14.486,15.135,15.655,16.353,16.964,17.540,18.174,18.797,19.553,20.298,20.993,21.550,22.267,22.979,23.669,24.468,25.357,26.374,27.538,28.745,29.839,31.017,32.258,33.352,34.546,35.950,37.510,38.777,39.674,40.760,42.160,43.823,45.558,46.927,48.283,49.279,50.439,52.086,53.807,55.455,57.018,58.668,60.191,61.572,62.587,63.645,65.014,66.547,68.265,70.261,72.455,74.939,77.612,80.401,82.695,84.588,86.601,88.809,91.072,93.564,95.718,97.218,97.580,98.070,98.863,100.000,101.413,103.069,104.779,106.430,107.959,109.795,111.718,113.240,115.011
2,"Agriculture, forestry, fishing, and hunting",43.100,46.578,49.715,52.486,54.530,55.983,57.110,57.689,58.504,58.466,58.340,58.643,59.540,60.047,60.511,61.518,63.233,65.054,67.332,69.810,72.223,73.749,75.214,77.078,78.470,79.942,83.657,87.056,90.712,94.111,97.427,101.111,105.105,106.138,106.449,104.229,101.831,100.008,97.192,94.122,91.299,89.640,88.524,87.910,86.572,84.620,83.867,83.862,84.042,84.515,85.398,86.082,85.425,85.352,85.497,86.187,87.085,88.494,89.905,90.548,90.994,92.341,93.280,94.472,96.383,100.000,104.101,109.646,110.872,110.700,111.223,111.143,111.454,111.762,112.332
3,"  Farms 1",46.864,50.634,54.029,57.047,59.252,60.781,62.018,62.630,63.393,63.301,63.095,63.273,64.283,64.814,65.311,66.364,68.258,70.072,72.470,75.108,77.662,79.191,80.699,82.453,83.843,85.289,88.936,92.485,96.341,99.750,103.223,106.923,110.919,111.660,111.656,109.065,106.265,104.067,100.761,97.276,94.093,92.256,90.987,90.079,88.485,86.134,85.179,85.091,85.327,85.756,86.964,87.796,87.057,86.944,87.118,87.855,88.699,89.918,90.871,91.116,91.486,92.681,93.548,94.399,96.229,100.000,104.381,110.048,111.080,110.187,110.204,109.398,109.493,109.864,110.421
4,"  Forestry, fishing, and related activities",9.315,10.178,10.999,11.551,12.159,12.933,13.082,13.360,14.651,15.096,15.677,17.053,16.947,17.235,17.403,17.980,18.107,19.929,21.113,22.137,23.274,24.742,25.800,28.572,29.950,31.641,35.976,38.018,39.859,43.100,44.986,48.483,52.417,56.054,59.129,60.187,61.355,62.880,64.461,65.119,65.537,65.489,65.748,67.770,68.707,70.305,71.348,72.101,71.774,72.629,70.573,69.900,70.002,70.299,70.166,70.421,71.819,75.023,80.788,85.254,86.427,89.219,90.837,95.127,97.753,100.000,101.572,106.004,109.019,115.660,121.018,127.945,130.353,130.047,130.745
5,Mining,24.913,25.856,26.669,27.829,29.004,30.559,32.377,34.233,36.389,38.425,40.200,41.466,42.754,43.945,45.316,46.737,47.895,49.612,51.496,53.238,54.366,55.353,56.520,57.089,57.606,58.192,58.482,59.287,60.630,62.133,64.304,68.130,72.542,78.847,87.277,93.490,96.305,99.846,102.095,100.148,97.994,97.080,95.619,94.848,93.978,92.158,91.842,91.933,91.899,91.461,91.667,91.424,90.799,90.418,90.659,88.903,88.311,88.187,88.461,89.970,91.501,93.469,93.155,93.904,96.548,100.000,103.158,106.683,106.954,103.678,102.364,103.228,103.990,101.867,100.318
6,"  Oil and gas extraction",25.481,26.621,27.665,29.128,30.627,32.512,34.721,37.059,39.804,42.321,44.532,46.183,47.798,49.284,50.826,52.352,53.449,55.210,57.045,58.692,59.521,60.289,61.308,61.668,61.634,61.728,61.283,61.263,61.832,62.508,63.868,66.829,70.626,77.630,86.880,94.018,97.673,102.158,105.063,103.370,101.665,100.833,99.489,99.033,98.425,96.632,96.116,95.631,94.882,94.015,94.264,94.307,93.919,93.935,94.837,93.353,93.145,93.044,93.033,93.958,94.897,96.096,95.248,95.531,97.211,100.000,103.027,106.661,106.899,103.654,102.418,103.422,104.536,102.192,100.508
7,"  Mining, except oil and gas",27.733,28.183,28.139,28.331,28.648,29.061,29.427,29.497,29.897,30.485,30.695,30.295,30.200,30.294,30.840,31.743,32.633,33.420,34.933,36.361,37.677,38.917,40.273,41.594,43.890,45.858,48.149,51.637,55.960,61.009,66.449,73.556,80.098,82.199,84.284,85.166,84.378,84.051,83.753,81.684,78.960,78.376,76.803,75.467,74.397,73.130,73.379,75.503,77.651,78.907,78.877,77.540,75.854,74.257,72.042,69.799,68.081,68.498,70.280,74.504,77.575,80.893,82.948,86.290,93.430,100.000,103.462,105.612,108.373,107.294,106.792,106.990,108.921,109.948,110.730
8,"  Support activities for mining",10.277,10.567,11.190,11.834,12.165,13.228,14.662,16.170,17.218,18.297,19.670,21.169,22.513,23.492,24.870,26.149,27.757,30.303,32.531,34.836,37.047,38.576,39.924,40.207,40.599,41.450,42.488,43.514,44.421,44.948,46.577,50.153,54.323,60.794,70.744,76.396,78.322,81.045,82.642,79.924,76.861,75.128,73.663,72.245,70.458,68.104,68.021,67.641,67.807,67.029,67.319,67.205,67.129,66.382,66.047,63.401,61.529,60.385,61.231,65.299,71.297,80.065,82.550,85.026,92.774,100.000,104.312,108.191,105.774,99.295,95.965,96.124,91.282,86.983,83.360
9,Utilities,15.148,16.142,17.274,18.553,19.742,20.895,22.230,23.366,24.407,25.598,26.835,28.032,29.185,30.238,31.124,31.972,32.787,33.630,34.727,36.123,37.721,39.488,41.194,42.980,44.667,46.749,48.964,50.730,51.936,52.997,54.527,56.100,57.776,59.151,60.401,61.529,62.440,63.999,66.463,68.707,70.402,71.333,72.065,73.104,73.760,74.476,75.468,75.481,75.972,76.447,76.568,77.016,77.658,79.713,82.239,83.583,84.894,85.540,86.213,87.426,89.629,91.845,94.170,95.801,97.560,100.000,101.971,104.385,107.073,109.912,111.930,114.376,117.097,119.808,122.012
