Table 2.5.4. Price Indexes for Personal Consumption Expenditures by Function
Table 2.5.4. Price Indexes for Personal Consumption Expenditures by Function
"Last Revised on: September 29, 2023"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Personal consumption expenditures",12.477,12.379,12.527,13.380,13.654,13.834,13.950,14.005,14.284,14.718,15.066,15.290,15.541,15.702,15.886,16.077,16.309,16.544,16.962,17.389,18.069,18.883,19.766,20.605,21.308,22.455,24.793,26.860,28.333,30.176,32.276,35.143,38.928,42.415,44.771,46.676,48.439,50.128,51.219,52.802,54.865,57.261,59.775,61.774,63.420,65.000,66.356,67.754,69.203,70.407,70.967,72.001,73.822,75.302,76.291,77.894,79.827,82.127,84.440,86.607,89.170,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100.000,102.047,103.513,104.635,109.001,116.043
2,Household consumption expenditures1,12.327,12.228,12.369,13.210,13.484,13.661,13.773,13.823,14.093,14.519,14.862,14.934,15.199,15.356,15.536,15.721,15.951,16.177,16.583,16.998,17.663,18.454,19.317,20.134,20.818,21.935,24.204,26.219,27.658,29.456,31.508,34.302,38.005,41.437,43.824,45.788,47.588,49.299,50.422,52.028,54.112,56.595,59.232,61.351,63.147,64.827,66.211,67.637,69.089,70.256,70.732,71.730,73.495,74.920,75.922,77.637,79.640,81.949,84.288,86.483,89.097,88.919,90.597,92.928,94.704,95.965,97.293,97.378,98.306,100.000,102.069,103.498,104.628,108.877,115.759
3,"    Food and beverages purchased for off-premises consumption",14.183,13.608,13.673,15.114,15.479,15.178,15.166,14.889,14.997,15.451,16.096,15.929,16.063,16.143,16.266,16.437,16.769,17.107,17.829,17.852,18.392,19.217,20.289,20.751,21.741,24.492,28.217,30.338,30.902,32.722,35.853,39.374,42.685,45.726,46.929,47.468,48.894,49.426,50.589,52.186,53.742,56.576,59.340,61.203,61.673,62.535,63.582,64.960,66.942,68.218,69.075,70.206,71.850,73.946,75.063,76.484,78.870,80.248,81.597,84.781,89.944,91.013,91.285,94.930,97.183,98.140,100.016,101.141,100.130,100.000,100.517,101.528,104.891,108.162,119.330
4,"        Food and nonalcoholic beverages purchased for off-premises consumption",13.046,12.557,12.720,14.133,14.405,14.133,14.133,13.861,13.970,14.405,15.057,14.886,15.010,15.089,15.206,15.377,15.729,16.058,16.784,16.787,17.307,18.127,19.198,19.621,20.629,23.563,27.537,29.647,30.184,32.163,35.393,38.944,42.254,45.313,46.405,46.772,48.253,48.709,49.819,51.486,53.069,56.038,58.829,59.991,60.289,61.241,62.431,63.955,65.963,67.254,68.183,69.254,70.807,72.978,74.039,75.479,77.938,79.370,80.742,84.091,89.611,90.445,90.697,94.825,97.309,98.231,100.290,101.581,100.260,100.000,100.449,101.373,105.014,108.537,121.191
5,"        Alcoholic beverages purchased for off-premises consumption",22.468,22.167,21.642,22.442,24.155,23.757,24.282,24.148,24.380,24.911,25.049,25.276,25.675,25.763,25.883,26.135,26.287,26.443,26.743,27.130,27.743,28.349,29.306,30.145,30.650,31.156,33.082,35.349,36.106,36.669,38.640,41.666,45.141,48.140,50.128,52.008,52.996,54.191,55.743,56.738,58.078,59.857,62.354,69.627,71.543,71.615,71.527,71.718,73.476,74.595,74.985,76.557,78.813,80.403,81.925,83.202,85.087,86.103,87.311,89.385,92.209,94.893,95.262,95.707,96.472,97.643,98.331,98.517,99.384,100.000,100.921,102.438,104.285,106.189,109.691
6,"        Food produced and consumed on farms",29.073,25.227,23.869,28.144,27.933,26.865,24.653,23.798,23.373,24.228,25.868,24.430,23.773,23.806,24.224,23.521,22.750,25.093,27.663,26.582,28.088,30.815,31.228,31.684,37.278,48.866,43.595,44.558,45.769,45.945,58.813,70.622,67.935,67.569,69.594,65.935,68.638,64.290,65.237,71.251,72.444,76.309,82.292,78.983,75.938,77.942,71.954,71.806,72.359,76.745,68.317,65.333,68.951,73.515,63.758,72.236,80.644,81.334,80.411,87.971,86.829,78.103,87.846,103.453,107.536,112.990,124.136,109.683,96.292,100.000,98.970,96.857,95.149,111.171,143.424
7,"    Clothing, footwear, and related services",44.985,43.412,43.203,46.893,46.269,46.328,46.463,46.434,47.428,48.273,48.570,46.875,47.642,47.944,48.153,48.628,49.108,49.602,51.043,53.173,56.080,59.070,61.324,63.493,64.636,66.828,71.962,75.395,78.000,81.444,83.378,85.489,89.068,92.374,93.993,95.449,96.157,98.335,98.127,101.021,104.324,106.053,109.581,111.796,112.721,112.310,110.670,108.304,107.168,107.345,105.585,104.401,103.364,101.654,99.288,97.080,96.910,96.238,96.036,95.340,94.826,95.769,95.295,96.879,100.322,101.357,101.739,100.674,100.487,100.000,100.229,99.143,94.446,96.485,101.611
8,"        Clothing",49.142,47.219,46.823,50.510,49.874,49.993,49.961,49.816,50.635,51.425,51.660,50.122,50.779,51.063,51.190,51.688,52.241,52.695,53.948,56.124,59.211,62.275,64.493,66.802,67.886,70.094,75.672,79.289,81.947,85.516,87.317,88.756,91.951,95.163,96.772,98.518,99.245,101.757,101.661,104.719,108.000,109.445,113.331,115.576,116.228,115.665,113.858,111.261,110.028,110.268,108.317,107.393,106.427,104.459,101.820,99.414,99.247,97.876,97.478,96.806,95.853,96.551,95.767,97.641,101.335,102.035,102.426,100.827,100.496,100.000,100.410,98.904,93.614,95.254,100.502
9,"            Garments",55.178,52.517,51.848,55.986,55.115,55.039,54.948,54.641,55.360,56.031,56.155,56.251,56.770,57.051,57.092,57.580,58.182,58.587,59.852,62.219,65.779,69.231,71.590,74.176,75.361,77.731,83.751,87.559,90.252,94.061,95.579,96.429,99.194,102.105,103.446,105.121,105.630,108.211,107.814,111.064,114.398,115.650,119.641,121.876,122.414,121.577,119.335,116.180,114.641,114.839,112.616,111.441,110.169,107.654,104.492,101.689,101.299,99.635,99.008,98.129,96.805,97.329,96.293,98.162,101.977,102.612,102.928,101.116,100.646,100.000,100.265,98.394,92.660,94.213,99.257
