Table 2.5.5. Personal Consumption Expenditures by Function
Table 2.5.5. Personal Consumption Expenditures by Function
"Last Revised on: September 29, 2023"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Personal consumption expenditures",174.9,178.3,192.0,208.3,219.3,232.7,239.6,258.3,271.1,286.3,295.6,317.1,331.2,341.5,362.6,382.0,410.6,443.0,479.9,506.7,556.9,603.6,646.7,699.9,768.2,849.6,930.2,1030.5,1147.7,1274.0,1422.3,1585.4,1750.7,1934.0,2071.3,2281.6,2492.3,2712.8,2886.3,3076.3,3330.0,3576.8,3809.0,3943.4,4197.6,4452.0,4721.0,4962.6,5244.6,5536.8,5877.2,6283.8,6767.2,7073.8,7348.9,7740.7,8232.0,8769.1,9277.2,9746.6,10050.1,9891.2,10260.3,10698.9,11047.4,11388.2,11874.5,12297.4,12726.8,13290.6,13934.4,14417.6,14206.2,16043.0,17511.7
2,Household consumption expenditures1,172.6,176.0,189.6,205.7,216.4,229.7,236.4,254.9,267.3,282.3,291.3,312.3,326.1,336.2,357.1,376.3,404.2,436.0,472.5,498.6,548.1,594.2,636.3,688.2,755.3,835.8,914.7,1013.5,1128.7,1253.3,1399.2,1559.3,1720.6,1899.8,2033.3,2240.8,2447.0,2664.9,2833.7,3020.6,3266.7,3508.7,3733.1,3863.3,4109.6,4361.9,4623.2,4860.3,5134.6,5431.2,5753.4,6145.5,6609.1,6894.7,7150.6,7535.2,8025.6,8558.8,9038.1,9497.8,9762.8,9602.0,9965.8,10387.0,10705.8,11040.8,11521.2,11933.7,12338.6,12894.2,13513.5,13999.7,13721.7,15585.1,16979.6
3,"    Food and beverages purchased for off-premises consumption",41.8,40.4,41.4,46.0,48.4,49.3,50.6,52.0,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143.0,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277.0,291.1,303.0,316.4,324.3,342.8,365.4,391.2,403.0,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,769.1,772.9,786.9,819.5,846.2,870.5,910.4,942.0,969.6,1010.4,1044.4,1082.0,1196.5,1287.7,1393.5
4,"        Food and nonalcoholic beverages purchased for off-premises consumption",33.9,33.1,34.2,38.6,40.7,41.7,43.2,44.7,46.7,49.7,52.3,54.0,54.9,56.1,56.7,57.7,61.0,65.7,71.3,73.0,78.2,83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208.0,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299.0,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,513.6,543.0,575.3,601.6,634.7,665.8,669.2,678.6,709.1,731.6,752.7,785.3,808.9,828.9,862.6,889.1,919.3,1007.4,1084.7,1178.9
5,"        Alcoholic beverages purchased for off-premises consumption",5.2,5.0,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6.0,6.4,6.5,6.6,7.0,7.3,7.6,7.9,8.5,8.9,9.9,11.0,12.3,13.8,14.9,16.0,17.7,19.2,20.5,22.1,23.8,26.8,30.0,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55.0,58.7,61.6,65.0,70.2,77.1,81.5,84.4,85.7,89.3,92.6,98.2,102.2,102.9,103.4,107.9,110.1,114.2,117.4,124.5,132.4,140.2,147.5,154.8,162.2,188.5,202.3,213.9
6,"        Food produced and consumed on farms",2.7,2.2,2.1,2.3,2.2,2.0,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.7,0.7
7,"    Clothing, footwear, and related services",21.8,21.1,21.4,23.1,23.9,24.2,24.3,25.4,26.5,26.8,27.1,28.6,29.3,29.9,31.3,32.1,34.7,36.5,39.8,41.7,45.6,48.8,49.9,53.4,58.0,63.7,66.9,71.4,76.9,84.3,94.6,101.9,108.8,119.1,122.7,132.9,144.7,154.3,165.1,176.4,188.1,201.2,206.5,210.1,223.0,231.1,240.1,244.7,253.5,262.0,273.1,287.2,297.5,294.6,295.2,301.4,313.4,326.4,336.2,339.5,333.1,319.1,331.7,347.1,359.5,369.4,384.6,397.4,409.3,419.1,427.9,432.9,381.2,484.5,518.3
8,"        Clothing",18.6,17.8,17.9,19.6,20.5,20.7,20.8,21.5,22.5,22.7,22.7,24.0,24.5,25.1,26.2,27.0,29.3,30.8,33.6,35.1,38.2,40.7,41.9,44.9,48.7,53.5,56.6,60.7,65.5,71.7,80.2,85.5,91.1,99.4,103.1,112.1,122.7,131.0,140.2,149.9,159.9,170.2,174.4,178.2,189.5,196.3,203.2,206.6,213.5,220.8,229.6,241.5,250.6,248.1,248.9,253.3,262.6,271.3,277.0,278.3,271.9,260.2,269.5,281.0,289.8,296.0,307.3,316.3,323.9,331.7,338.0,341.0,299.2,379.6,408.3
9,"            Garments",15.4,14.7,14.8,16.1,17.0,17.2,17.3,18.0,18.8,18.9,19.0,20.2,20.6,21.2,22.2,22.9,25.0,26.4,28.8,30.2,33.1,35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.2,121.0,129.5,138.2,146.9,156.2,160.0,164.0,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230.0,227.2,228.0,232.7,242.3,251.4,257.0,258.7,252.8,241.6,250.8,262.8,271.7,277.3,287.9,296.5,303.9,310.8,316.5,319.2,281.1,359.9,387.5
