Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
"Last Revised on: November 17, 2023"
Line,,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Government",118.5,120.5,129.2,140.3,147.2,154.8,164.1,185.4,207.0,225.5,239.0,252.6,267.5,286.2,304.8,341.4,381.1,404.2,434.3,476.3,524.8,589.6,654.4,711.5,766.6,827.9,910.5,976.1,1031.5,1078.9,1151.9,1238.6,1299.0,1344.5,1364.9,1402.3,1449.4,1492.8,1547.1,1611.6,1719.9,1826.4,1950.0,2089.5,2210.6,2338.1,2475.3,2623.8,2790.6,2983.0,3076.3,3155.6,3147.9,3136.5,3132.6,3168.6,3233.4,3303.0,3397.1,3590.4,3789.9,3994.8,4193.1,4446.8
2,General public service,5.3,5.7,6.2,6.7,7.1,7.7,8.6,9.0,9.6,11.0,13.6,15.3,17.6,19.9,22.3,26.9,31.5,33.4,36.5,39.2,42.7,47.2,49.6,53.9,57.7,61.3,69.9,75.2,80.1,83.0,89.4,98.2,104.0,110.8,111.4,116.3,122.3,122.7,131.4,141.8,152.9,159.7,174.2,186.8,190.2,202.4,214.8,229.3,238.5,251.0,261.8,266.1,261.0,261.3,263.7,265.6,272.3,273.8,284.1,297.1,315.8,356.4,380.2,417.1
3,"    Executive and legislative",2.5,2.8,2.9,3.1,3.3,3.4,3.8,3.8,3.6,2.6,3.3,4.0,4.9,5.4,6.0,7.4,7.9,8.3,8.9,9.6,11.4,13.0,13.4,14.9,13.5,14.6,16.0,16.5,17.9,17.5,18.4,22.1,23.2,23.6,24.8,25.6,28.7,26.7,29.4,33.1,35.1,36.8,39.9,45.0,49.5,58.8,61.2,64.9,70.3,75.1,79.4,81.2,83.6,85.5,83.6,86.9,90.7,92.4,97.3,100.2,105.6,115.3,119.0,127.2
4,"    Tax collection and financial management",1.2,1.4,1.4,1.5,1.6,1.7,1.8,1.9,2.2,3.8,4.8,5.5,6.1,6.6,6.9,7.9,9.4,9.8,10.8,11.2,11.3,11.6,12.1,14.1,17.1,17.1,22.1,23.9,23.8,26.0,27.6,28.9,31.6,33.7,31.4,32.9,34.0,33.4,35.6,35.4,38.5,37.0,42.1,42.3,41.5,42.5,43.7,44.8,45.6,52.7,54.2,55.9,50.5,50.3,52.1,50.7,53.7,57.2,58.2,62.7,65.6,73.8,68.6,74.2
5,"    Other",1.5,1.6,1.9,2.0,2.3,2.6,3.0,3.3,3.8,4.7,5.5,5.7,6.6,7.8,9.5,11.6,14.2,15.3,16.8,18.4,19.9,22.5,24.1,24.9,27.1,29.6,31.8,34.8,38.4,39.4,43.3,47.2,49.2,53.5,55.2,57.9,59.6,62.5,66.5,73.2,79.3,85.9,92.3,99.5,99.3,101.1,109.8,119.7,122.6,123.2,128.2,129.0,126.8,125.4,128.0,127.9,127.9,124.2,128.7,134.3,144.6,167.3,192.6,215.7
6,National defense,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.3,744.1,730.4,729.4,748.3,795.1,851.1,884.6,898.6,928.4
7,Public order and safety,4.6,5.0,5.4,5.6,5.9,6.4,6.9,7.5,8.3,9.6,10.8,12.2,14.1,16.0,17.7,20.1,23.1,25.0,27.4,30.3,33.7,37.5,42.2,47.2,51.7,56.4,62.8,68.6,74.7,82.7,93.0,103.2,112.8,122.3,131.9,141.2,150.7,160.7,170.2,183.0,198.4,214.0,230.2,244.6,251.5,265.4,279.1,296.4,318.0,340.2,346.7,350.9,352.2,351.9,356.6,368.6,380.8,391.2,402.6,426.1,446.5,460.4,479.6,509.5
8,"    Police",2.1,2.3,2.5,2.6,2.8,3.0,3.3,3.6,4.0,4.8,5.3,6.0,6.9,7.9,8.8,9.8,11.2,11.9,13.0,14.2,15.5,17.0,18.9,20.9,22.7,24.5,27.0,28.9,30.8,33.7,37.1,40.5,44.0,48.2,52.4,55.5,59.0,63.6,67.7,73.6,79.3,85.1,91.6,99.5,105.0,112.6,118.6,125.8,135.5,147.2,151.5,155.7,157.4,158.4,160.0,165.6,171.3,177.9,185.0,197.0,205.8,213.7,223.5,236.5
9,"    Fire",1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2.0,2.2,2.5,2.9,3.2,3.4,3.8,4.3,4.6,5.0,5.4,6.0,6.6,7.4,8.2,8.8,9.5,10.4,11.4,12.3,12.9,14.3,15.5,16.5,18.3,18.7,19.8,20.6,21.8,22.8,24.1,26.0,28.2,30.0,32.5,34.0,36.0,38.4,41.8,45.3,48.0,49.1,49.7,50.1,50.0,52.3,54.1,56.2,58.0,59.2,63.7,67.6,70.6,75.2,80.0
