"Table 6.5B. Full-Time Equivalent Employees by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2020"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Full-time equivalent employees1",48029,46769,48527,52537,53673,54612,52782,53988,55303,55724,53919,55574,56581,56479,58034,58907,60208,62633,66071,67992,69859,71718,71225,70846,72674,76034,77142,75376,77712,80417,84512,87301,87222,87984,85822,86353,90628,92978,94654,97303
"2","Domestic industries",48022,46784,48531,52592,53741,54690,52909,54126,55445,55857,54047,55708,56724,56604,58125,58979,60271,62654,66086,68007,69875,71740,71245,70865,72695,76058,77163,75401,77737,80440,84540,87323,87246,88046,85886,86423,90701,93050,94721,97369
"3","    Private industries",41278,39577,41099,43325,43698,44677,43054,44381,45605,45822,43970,45365,46103,45621,46734,47380,48332,50338,52793,54001,55419,57024,56554,56206,58018,61172,62005,59937,62195,64770,68531,71179,70958,71881,69715,70368,74437,76433,77766,80132
"4","        Agriculture, forestry, and fishing",2072,2000,2067,1999,1933,1882,1902,1847,1769,1747,1780,1771,1755,1763,1723,1677,1552,1476,1382,1314,1298,1274,1280,1276,1293,1368,1458,1440,1532,1490,1496,1546,1593,1582,1463,1569,1488,1394,1381,1455
"5","            Farms",1940,1869,1933,1856,1786,1742,1762,1707,1626,1604,1639,1631,1604,1602,1551,1498,1361,1270,1168,1088,1063,1032,1041,1034,1032,1070,1146,1152,1206,1141,1081,1088,1116,1076,1022,1106,995,863,816,826
"6","            Agricultural services, forestry, and fishing",132,131,134,143,147,140,140,140,143,143,141,140,151,161,172,179,191,206,214,226,235,242,239,242,261,298,312,288,326,349,415,458,477,506,441,463,493,531,565,629
"7","        Mining",993,923,924,937,914,872,794,798,837,833,742,710,692,657,640,623,619,624,621,604,599,611,615,602,612,626,685,739,767,811,858,930,1012,1128,1108,939,958,914,765,707
"8","            Metal mining",100,94,96,102,103,107,101,105,112,113,92,83,95,89,84,81,81,85,88,80,83,91,95,89,86,88,96,93,93,92,82,89,88,93,74,58,56,47,43,45
"9","            Coal mining",533,475,469,441,397,342,267,249,261,255,215,190,177,157,150,145,142,140,137,137,131,133,143,145,158,158,176,211,225,236,232,252,249,234,237,190,196,187,173,159
