"Table 6.5D. Full-Time Equivalent Employees by Industry"
"[Thousands]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2020"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Full-time equivalent employees1",117761,120323,122988,123184,121925,121372,122473,124694,126892,128197,127127,120655,119697,121139,123521,125540,128130,131007,132887,134992,137434,139406
"2","Domestic industries",118162,120764,123384,123725,122474,121964,123101,125359,127578,128922,128227,121457,120519,121965,124500,126606,129326,132262,134291,136447,138895,140917
"3","    Private industries",99461,101920,104283,104294,102658,102043,103144,105361,107547,108663,107656,100849,99955,101690,104465,106686,109296,112269,114179,116222,118467,120394
"4","        Agriculture, forestry, fishing, and hunting",1173,1198,1170,1095,1085,1098,1043,1016,1099,1102,1087,1060,1099,1112,1141,1167,1187,1239,1246,1248,1246,1254
"5","            Farms2",734,774,752,748,747,759,707,669,644,644,627,634,647,654,668,676,688,700,703,702,697,698
"6","            Forestry, fishing, and related activities",439,424,418,347,338,339,337,347,454,459,460,426,453,459,473,490,499,539,543,546,549,557
"7","        Mining",558,520,511,528,501,492,510,550,606,647,708,630,642,714,780,797,830,740,600,615,664,663
"8","            Oil and gas extraction",138,127,123,123,120,118,119,124,132,143,159,158,157,168,184,193,197,193,172,143,141,140
"9","            Mining, except oil and gas",241,231,218,218,208,197,202,210,217,217,223,204,202,210,214,207,203,194,177,183,189,188
"10","            Support activities for mining",180,163,169,188,174,176,189,217,256,287,326,268,283,336,382,396,430,353,251,289,334,335
"11","        Utilities",598,594,592,592,580,559,553,541,543,544,554,555,546,545,544,540,544,547,549,547,546,544
"12","        Construction",6017,6375,6659,6827,6748,6744,7011,7315,7606,7570,7111,5856,5401,5378,5501,5754,6043,6378,6640,6892,7176,7412
"13","        Manufacturing",17246,17051,16948,16126,14973,14214,14021,13946,13884,13596,13129,11514,11223,11443,11652,11742,11917,12075,12039,12182,12389,12515
