Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
18035,Estimates,United States of America,29,840,Country/Area,918,1950,3762.57,3600.43,3442.34,3289.29,3142.26,3002.21,2870.14,2747.02,2633.83,2531.56,2439.45,2356.77,2293.10,2252.87,2231.89,2218.68,2212.07,2223.74,2257.21,2305.34,2355.92,2409.59,2458.73,2497.71,2527.78,2558.21,2590.02,2600.83,2581.31,2541.67,2500.72,2453.83,2415.06,2393.04,2380.82,2362.81,2342.08,2317.63,2287.37,2252.63,2217.91,2183.59,2143.43,2095.18,2042.13,1989.00,1933.87,1886.16,1850.72,1822.95,1793.75,1765.33,1733.06,1693.82,1650.25,1607.56,1564.15,1523.27,1486.87,1452.86,1416.36,1377.39,1337.83,1297.80,1255.89,1212.77,1170.90,1114.95,1038.16,948.67,860.62,770.32,691.54,632.27,585.97,538.80,494.39,447.68,395.04,340.09,289.44,241.00,200.85,172.41,152.34,133.79,118.07,102.95,86.59,70.13,54.92,44.06,36.96,28.57,18.89,13.11,11.18,8.96,6.46,3.67,6.27
18036,Estimates,United States of America,29,840,Country/Area,918,1951,3712.15,3735.75,3585.38,3435.74,3288.23,3144.25,3004.99,2871.65,2746.64,2631.75,2527.77,2433.03,2347.06,2280.59,2238.54,2216.53,2202.10,2194.06,2205.66,2241.08,2292.40,2346.09,2403.16,2454.61,2494.04,2523.34,2553.20,2584.36,2594.65,2575.01,2535.47,2494.28,2446.84,2407.65,2385.46,2373.12,2355.17,2335.32,2309.42,2274.09,2232.43,2191.04,2148.72,2106.68,2066.22,2026.63,1985.97,1944.68,1903.52,1862.69,1822.13,1781.46,1740.59,1700.58,1661.88,1623.96,1585.48,1546.28,1507.49,1469.41,1431.23,1391.37,1349.52,1306.32,1261.70,1214.86,1166.90,1119.87,1061.41,986.19,900.90,816.91,731.17,655.85,597.90,551.61,504.98,461.24,415.59,364.73,311.99,263.43,217.08,178.90,152.26,133.84,116.98,103.06,89.54,74.80,59.74,46.39,37.33,31.24,24.06,15.80,11.37,9.13,6.59,3.74,6.33
18037,Estimates,United States of America,29,840,Country/Area,918,1952,3706.92,3664.59,3717.92,3578.92,3437.35,3295.01,3153.74,3014.93,2880.01,2752.81,2635.94,2530.03,2432.44,2342.97,2273.54,2229.59,2206.48,2190.81,2181.31,2192.88,2230.33,2284.95,2341.87,2402.46,2456.33,2496.30,2524.90,2554.28,2584.85,2594.65,2574.85,2535.31,2493.79,2445.68,2405.97,2383.58,2371.08,2353.16,2334.12,2306.73,2266.26,2217.58,2169.44,2119.04,2075.02,2042.24,2015.99,1987.67,1960.10,1925.38,1879.07,1825.65,1773.44,1720.04,1672.22,1633.96,1601.59,1567.21,1532.12,1495.34,1455.47,1413.05,1369.74,1324.93,1277.99,1228.69,1176.80,1123.90,1071.61,1010.50,936.66,855.37,775.23,693.84,621.80,565.03,518.64,472.44,429.25,384.56,335.34,284.69,238.11,193.71,157.43,132.50,115.70,100.48,88.31,76.37,63.20,49.50,37.98,30.71,25.60,19.62,12.76,9.11,6.58,3.74,6.40
18038,Estimates,United States of America,29,840,Country/Area,918,1953,3740.84,3732.65,3695.54,3702.73,3575.02,3441.42,3304.16,3165.49,3027.04,2890.44,2760.95,2642.03,2534.09,2433.58,2340.56,2268.11,2222.22,2198.00,2181.08,2170.11,2181.66,2221.16,2279.12,2339.32,2403.47,2459.81,2500.34,2528.27,2557.17,2587.19,2596.51,2576.53,2536.95,2495.07,2446.27,2406.01,2383.40,2370.73,2352.81,2334.58,2305.67,2260.03,2204.30,2149.37,2090.84,2044.82,2019.69,2006.77,1990.79,1976.93,1948.63,1896.80,1830.47,1766.67,1700.69,1645.02,1607.18,1580.34,1550.05,1519.05,1484.23,1442.56,1395.86,1349.07,1301.25,1250.54,1196.52,1139.54,1081.66,1024.06,960.25,887.75,810.40,734.06,656.96,588.15,532.52,485.99,440.19,397.54,353.77,306.16,257.57,212.92,170.47,136.05,112.83,97.63,84.03,73.61,63.24,51.64,39.29,29.59,24.10,19.97,15.18,9.73,6.49,3.72,6.45
18039,Estimates,United States of America,29,840,Country/Area,918,1954,3807.93,3814.68,3790.57,3739.25,3687.42,3571.02,3445.41,3313.24,3177.19,3039.09,2900.81,2769.04,2648.06,2538.10,2434.66,2338.08,2262.62,2214.78,2189.44,2171.26,2158.82,2170.35,2211.91,2273.22,2336.70,2404.42,2463.23,2504.33,2531.57,2560.00,2589.46,2598.29,2578.14,2538.52,2496.29,2446.79,2405.99,2383.14,2370.31,2352.41,2334.98,2304.55,2253.72,2190.94,2129.21,2062.54,2014.51,1997.05,1997.49,1993.86,1993.73,1971.86,1914.51,1835.25,1759.85,1681.26,1617.72,1580.30,1559.01,1532.81,1505.90,1473.07,1429.58,1378.60,1328.33,1277.50,1223.01,1164.26,1102.18,1039.32,976.39,909.89,838.73,765.33,692.80,620.00,554.43,499.94,453.28,407.88,365.76,322.92,276.93,230.39,187.69,147.18,114.63,93.12,79.52,67.56,58.89,50.08,40.06,29.06,21.18,17.48,14.34,10.74,6.69,3.68,6.48
18040,Estimates,United States of America,29,840,Country/Area,918,1955,3900.89,3904.76,3880.68,3831.73,3761.00,3671.56,3566.51,3448.91,3321.87,3188.45,3050.73,2910.79,2776.75,2653.72,2541.75,2435.40,2335.26,2256.79,2207.00,2180.56,2161.12,2147.22,2158.71,2202.33,2266.98,2333.74,2405.02,2466.30,2507.96,2534.52,2562.48,2591.36,2599.71,2579.38,2539.74,2497.15,2446.96,2405.62,2382.55,2369.56,2351.67,2335.05,2303.10,2247.09,2177.24,2108.71,2033.91,1983.87,1974.09,1987.91,1996.65,2010.27,1994.84,1931.97,1839.78,1752.76,1661.56,1590.16,1553.17,1537.43,1515.32,1492.53,1461.68,1416.38,1361.12,1307.36,1253.52,1195.26,1131.79,1064.61,996.77,928.52,859.33,789.52,720.09,651.37,582.90,520.58,467.25,420.46,375.46,333.88,291.97,247.61,203.14,162.40,123.83,93.16,73.36,61.37,51.05,44.13,36.90,28.46,18.81,12.76,10.85,8.69,6.29,3.64,6.47
18041,Estimates,United States of America,29,840,Country/Area,918,1956,4010.53,3919.57,3911.49,3880.46,3828.62,3758.12,3672.37,3574.77,3461.18,3331.22,3190.82,3048.16,2903.86,2767.69,2646.12,2537.98,2435.01,2338.11,2263.22,2217.24,2194.53,2178.86,2169.06,2182.32,2224.17,2284.77,2347.62,2414.58,2472.52,2512.75,2539.08,2566.42,2594.66,2602.18,2580.64,2539.58,2495.89,2444.92,2402.74,2378.66,2364.72,2345.81,2327.56,2296.24,2244.32,2180.43,2117.44,2048.85,2000.81,1986.37,1991.37,1991.85,1996.46,1974.90,1910.91,1820.71,1734.84,1644.86,1573.31,1533.72,1513.85,1488.18,1462.16,1427.91,1379.06,1320.33,1263.21,1205.84,1145.82,1083.26,1018.71,953.48,888.31,821.22,751.67,681.40,612.36,543.74,481.78,429.64,384.65,341.40,301.51,261.94,220.81,180.09,142.29,107.52,81.34,63.82,52.49,43.34,37.43,31.22,23.99,15.75,10.74,8.60,6.23,3.61,6.43
18042,Estimates,United States of America,29,840,Country/Area,918,1957,4117.80,4080.94,3934.76,3914.74,3876.78,3822.09,3751.89,3669.90,3579.86,3470.37,3337.61,3190.35,3042.86,2894.33,2756.15,2636.16,2531.94,2432.44,2338.87,2267.64,2225.51,2206.55,2194.67,2188.98,2204.01,2244.05,2300.54,2359.41,2421.98,2476.53,2515.29,2541.37,2568.07,2595.64,2602.34,2579.59,2537.16,2492.40,2440.70,2397.71,2372.64,2357.76,2337.85,2318.00,2287.32,2239.54,2181.67,2124.29,2061.98,2015.99,1996.89,1993.07,1985.26,1980.86,1953.17,1888.13,1800.01,1715.36,1626.68,1555.04,1512.89,1488.90,1459.69,1430.46,1392.84,1340.47,1278.33,1217.89,1157.03,1095.32,1033.72,971.86,909.30,847.27,782.33,713.10,642.07,572.76,504.06,442.52,391.61,348.46,307.01,268.85,231.65,193.78,156.86,122.04,91.11,69.44,54.20,43.56,35.59,30.69,25.50,19.50,12.68,8.55,6.19,3.59,6.35
18043,Estimates,United States of America,29,840,Country/Area,918,1958,4207.41,4147.66,4084.90,3948.44,3916.48,3871.61,3814.10,3744.22,3666.03,3583.57,3478.23,3342.72,3188.65,3036.40,2883.69,2743.56,2625.18,2524.92,2428.95,2338.74,2271.19,2232.92,2217.72,2209.63,2208.06,2224.84,2263.06,2315.42,2370.29,2428.46,2479.59,2516.87,2542.69,2568.74,2595.62,2601.49,2577.56,2533.77,2487.96,2435.54,2391.76,2365.72,2349.90,2329.00,2307.54,2277.53,2233.90,2182.08,2130.31,2074.31,2030.39,2006.64,1993.99,1977.92,1964.50,1930.70,1864.63,1778.62,1695.22,1607.87,1536.17,1491.49,1463.38,1430.64,1398.22,1357.24,1301.39,1235.86,1172.11,1107.80,1044.41,983.80,924.64,864.79,805.92,743.16,674.28,602.50,532.95,464.20,403.10,353.45,312.15,272.51,236.09,201.28,166.69,133.57,101.75,74.66,57.52,44.58,34.61,27.83,23.93,19.77,14.99,9.60,6.16,3.56,6.25
18044,Estimates,United States of America,29,840,Country/Area,918,1959,4262.72,4190.72,4122.20,4055.86,3962.30,3918.40,3866.62,3806.29,3736.73,3662.32,3587.44,3486.23,3347.97,3187.10,3030.08,2873.19,2731.11,2614.33,2518.03,2425.57,2338.71,2274.83,2240.42,2228.99,2224.67,2227.22,2245.76,2282.15,2330.39,2381.27,2435.03,2482.76,2518.56,2544.12,2569.52,2595.72,2600.76,2575.64,2530.48,2483.63,2430.49,2385.93,2358.90,2342.16,2320.26,2297.20,2267.84,2228.36,2182.57,2136.43,2086.73,2044.87,2016.47,1995.01,1970.66,1948.24,1908.34,1841.22,1757.32,1675.18,1589.15,1517.39,1470.16,1437.95,1401.68,1366.06,1321.73,1262.38,1193.46,1126.42,1058.65,993.58,933.96,877.50,820.34,764.63,704.05,635.51,562.98,493.19,424.39,363.73,315.33,275.88,238.04,203.36,170.93,139.62,110.30,81.47,58.23,45.60,34.96,25.67,20.08,17.19,14.05,10.50,6.52,3.51,6.14
